X,Y,OGF_ID,MOH_SERVICE_PROVIDER_IDENT,SERVICE_TYPE,SERVICE_TYPE_DETAIL,ENGLISH_NAME,FRENCH_NAME,ENGLISH_NAME_ALT,FRENCH_NAME_ALT,ADDRESS_LINE_1,ADDRESS_LINE_2,ADDRESS_DESCRIPTOR,COMMUNITY,POSTAL_CODE,GEOMETRY_UPDATE_DATETIME,EFFECTIVE_DATETIME,SYSTEM_DATETIME,OBJECTID
-80.922721959743612,44.569299368836042,125304032,2638,Long-Term Care Home,NH for-profit,Georgian Heights,,,,1115 10th Street East,,,Owen Sound,N4K6B1,2019-02-12T12:42:30.000Z,2019-02-11T10:26:08.000Z,2019-02-12T23:17:15.000Z,41073
-79.379468382522688,43.65054688477818,125273596,5517,Community Support Service,Site,The Ontario Caregiver Organization,,The Ontario Caregiver Organization,,22 Adelaide Street West,Suite 3400,Administrative Office,Toronto,M5H4E3,2019-02-12T12:56:13.000Z,2019-02-11T09:18:57.000Z,2019-02-12T23:17:15.000Z,41377
-82.205711658995753,42.39083042716215,125297550,9694,Pharmacy,RP,Chatham Pharmasave,,,,125 Keil Drive South,,,Chatham-Kent,N7M3H3,2019-02-12T12:41:04.000Z,2019-02-11T10:11:55.000Z,2019-02-12T23:17:15.000Z,41425
-78.951109265633306,43.879120644621715,125289490,M522,Long-Term Care Home,MHFA,Fairview Lodge,,,,632 Dundas Street West,Postal Office Box 300,,Whitby,L1N5S3,2019-02-12T12:39:19.000Z,2019-02-11T09:56:16.000Z,2019-02-12T23:17:15.000Z,41441
-79.938676525393973,43.252918388661769,125311072,5582,Pharmacy,RP,Whitney Plaza Pharmacy,,,,1819 Main Street West,,,Hamilton,L8S1H6,2019-02-12T12:44:00.000Z,2019-02-11T10:41:42.000Z,2019-02-12T23:17:15.000Z,41473
-77.353778375332212,44.167965966822969,125299310,6404,Mental Health and Addiction Organization,Mental Health Services,"Canadian Hearing Society, The",,,,470 Dundas Street East,"Suite 51, Bayview Mall",Practice Location,Belleville,K8N1G1,2019-02-12T13:02:04.000Z,2019-02-11T10:15:14.000Z,2019-02-12T23:17:15.000Z,41601
-75.622217404404637,45.316829140162,125302749,10000000039,Midwifery Clinic,Main,Ottawa South Midwives,,,,4112 Albion Road,,Practice Location,Ottawa,K1T3W1,2019-02-12T12:22:24.000Z,2019-02-11T10:23:10.000Z,2019-02-12T23:17:15.000Z,41649
-79.469469023369768,43.787752304638609,125313324,T0058,Retirement Home,Site,Four Elms Retirement Residence,,,,1500 Steeles Avenue West,,Residential,Vaughan,L4J4H6,2019-02-12T12:24:47.000Z,2019-02-11T10:46:07.000Z,2019-02-12T23:17:15.000Z,41841
-80.459603505177512,43.421843293818455,125294199,8879,Pharmacy,RP,Pharmasave,,,,1144 Courtland Avenue East,,,Kitchener,N2C2H5,2019-02-12T12:50:34.000Z,2019-02-11T10:05:32.000Z,2019-02-12T23:17:15.000Z,41857
-81.649316637058973,42.95827325484359,125301782,S0154,Retirement Home,Site,Seasons Strathroy,,,,3230 Napperton Drive,,Residential,Strathroy,N7G0C4,2019-02-12T13:23:06.000Z,2019-02-11T10:20:52.000Z,2019-02-12T23:17:15.000Z,41889
-80.31537240795268,42.834344196676113,125293020,7129,Mental Health and Addiction Organization,Addiction Services and Mental Health Services,Community Addiction and Mental Health Services of Haldimand and Norfolk,,,,50 Orchard Avenue,,Practice Location,Simcoe,N3Y3H1,2019-02-12T12:30:17.000Z,2019-02-11T10:03:10.000Z,2019-02-12T23:17:15.000Z,41937
-79.245550297786565,43.16342250473663,125290074,6797226,Independent Health Facility,Radgrhy,Greater Niagara Medical Imaging,,Greater Niagara Medical Imaging Inc.,,120 Welland Avenue,Unit 6,Practice Address,St. Catharines,L2R2N3,2019-02-12T12:29:38.000Z,2019-02-11T09:57:25.000Z,2019-02-12T23:17:15.000Z,41953
-79.734767400742385,43.706811378063215,125312793,778,Pharmacy,RP,Healthplex Pharmacy,,,,150 West Drive,Unit 101A,,Brampton,L6T4P9,2019-02-12T12:24:38.000Z,2019-02-11T10:45:05.000Z,2019-02-12T23:17:15.000Z,41985
-77.349352755798904,43.951881028994599,125293212,1718,Pharmacy,RP,Wellington Pharmacy,,,,274 Wellington Main Street,,,Prince Edward,K0K3L0,2019-02-12T12:50:20.000Z,2019-02-11T10:03:37.000Z,2019-02-12T23:17:15.000Z,42001
-80.218105037000285,43.513751721431227,125313263,9324,Pharmacy,RP,Drugstore Pharmacy #531,,,,160 Kortright Road West,,,Guelph,N1G4W2,2019-02-12T12:55:01.000Z,2019-02-11T10:46:00.000Z,2019-02-12T23:17:15.000Z,42097
-79.425603883712455,44.604868347933511,125308621,3456,Mental Health and Addiction Organization,Mental Health Services,Orillia Soldiers' Memorial Hospital,,,,170 Colborne Street West,,Administration and Practice Location,Orillia,L3V2Z3,2019-02-12T13:34:44.000Z,2019-02-11T10:36:28.000Z,2019-02-12T23:17:15.000Z,42177
-78.320394500101159,44.304797747645431,125304182,7597613,Independent Health Facility,"Radgrhy, Gen Ultrasound, Vasc Utrasnd",Turnbull Diagnostic Imaging,,Peterborough Radiology Associates Ltd.,,170 Simcoe Street,,Practice Address,Peterborough,K9H2H7,2019-02-12T12:22:44.000Z,2019-02-11T10:26:30.000Z,2019-02-12T23:17:15.000Z,42209
-79.299990971482799,43.813096116957794,125272321,10931,Pharmacy,LTCF,Mon Sheong Scarborough Ltc Ctr,,,,2030 McNicoll Avenue,,,Toronto,M1V5P4,2019-02-12T13:26:38.000Z,2019-02-11T09:14:29.000Z,2019-02-12T23:17:15.000Z,42257
-80.600361960522818,44.606327491140561,125301766,10000000035,Hospital - Site,Site,Grey Bruce Health Services - Meaford,,Grey Bruce Health Services,,229 Nelson Street West,,,Meaford,N4L1A3,2019-02-12T13:23:05.000Z,2019-02-11T10:20:50.000Z,2019-02-12T23:17:15.000Z,42289
-82.740933992681178,42.037613437872331,125286436,10219,Pharmacy,RP,Main St Pharmacy &Wellness Cnt,,,,19 Main Street West,,,Kingsville,N9Y1H2,2019-02-12T12:28:45.000Z,2019-02-11T09:50:07.000Z,2019-02-12T23:17:15.000Z,42369
-80.996423178825694,46.45117177427192,125309450,3968,Pharmacy,RP,Thompson Pharmacy,,,,2120 Regent Street,Unit 12,,Sudbury,P3E3Z9,2019-02-12T13:04:25.000Z,2019-02-11T10:38:08.000Z,2019-02-12T23:17:15.000Z,42385
-76.49812500421632,44.255686519036544,125307090,2002,Community Health Centre,Site,Kingston Community Health Centres,,KINGSTON-CHC,,400 Elliott Avenue,,Unknown,Kingston,K7K6M9,2019-02-12T13:34:25.000Z,2019-02-11T10:33:16.000Z,2019-02-12T23:17:15.000Z,42465
-80.27492412290411,43.152461455113894,125314151,10000000088,Midwifery Clinic,Main,Community Midwives of Brantford,,,,217 Terrace Hill Street,Suite 100,Practice Location,Brantford,N3R1G9,2019-02-12T13:25:57.000Z,2019-02-11T10:47:46.000Z,2019-02-12T23:17:15.000Z,42529
-79.302425673215978,43.82387981873098,125283790,10201,Pharmacy,RP,Advance Pharmacy Inc,,,,4675 Steeles Avenue East,"Unit 2D, 18 & 19 & 21",,Toronto,M1V4S5,2019-02-12T13:29:12.000Z,2019-02-11T09:44:49.000Z,2019-02-12T23:17:15.000Z,42657
-81.192354677977974,42.776132744776163,125297243,3302,Mental Health and Addiction Organization,Mental Health Services,"Violence Against Women Services, Elgin County",,,,45 Princess Avenue,,Practice Location,Saint Thomas,N5R3V6,2019-02-12T13:11:33.000Z,2019-02-11T10:11:21.000Z,2019-02-12T23:17:15.000Z,42673
-74.694661972611343,45.02091102710358,125279338,1973,Pharmacy,HSC,Riverview Manor,,,,1198 Montreal Road,,,Cornwall,K6H1E2,2019-02-12T12:47:08.000Z,2019-02-11T09:35:55.000Z,2019-02-12T23:17:15.000Z,42689
-79.411882204862437,43.786383007083103,125288950,13132,Mental Health and Addiction Organization,Mental Health Services,Gerstein Crisis Centre,,,,24 Silverview Drive,,Practice Location,Toronto,M2M2B3,2019-02-12T12:49:20.000Z,2019-02-11T09:55:14.000Z,2019-02-12T23:17:15.000Z,42753
-81.285572624114977,42.966727174030503,125290814,5711840,Independent Health Facility,"Radgrhy, Gen Ultrasound",London X-Ray Associates Inc.,,London X-Ray Associates Inc.,,460 Springbank Drive,Suite 104,Practice Address,London,N6J1G8,2019-02-12T13:30:47.000Z,2019-02-11T09:58:51.000Z,2019-02-12T23:17:15.000Z,42769
-79.29455455886233,43.68967049557979,125276479,6889,Pharmacy,RP,Medimost Pharmacy,,,,2883 Danforth Avenue,,,Toronto,M4C1M3,2019-02-12T12:36:24.000Z,2019-02-11T09:29:02.000Z,2019-02-12T23:17:15.000Z,42785
-80.019333646190944,45.342078743405089,125299888,10000000041,Hospital - Corporation,Site,West Parry Sound Health Centre,,West Parry Sound Health Centre,,6 Albert St,,,Parry Sound,P2A3A4,2019-02-12T13:02:11.000Z,2019-02-11T10:16:22.000Z,2019-02-12T23:17:15.000Z,42881
-79.360110506148743,46.079833297616098,125282214,1998,Pharmacy,HSC,Eide Residence,,,,532 Main Street,,,Powassan,P0H1Z0,2019-02-12T12:17:41.000Z,2019-02-11T09:41:42.000Z,2019-02-12T23:17:15.000Z,42929
-79.397306089884395,43.66954918728765,125282714,8025,Community Health Centre,Site,Planned Parenthood of Toronto,,TORONTO Planned Parenthood of TO,,36 Prince Arthur Avenue,Unit B,Unknown,Toronto,M5R1A9,2019-02-12T12:17:51.000Z,2019-02-11T09:42:41.000Z,2019-02-12T23:17:15.000Z,43009
-79.194334633587076,43.766391013671182,125308755,4037,Pharmacy,RP,Klh Pharmacy,,,,4113 Lawrence Avenue East,Unit A,,Toronto,M1E2S2,2019-02-12T13:14:13.000Z,2019-02-11T10:36:44.000Z,2019-02-12T23:17:15.000Z,43025
-81.254766507277239,44.987337422209237,125301584,11810,Pharmacy,LTCF,Golden Dawn Nursing Home,,,,80 Main Street,,,Lion's Head,N0H1W0,2019-02-12T12:52:17.000Z,2019-02-11T10:20:24.000Z,2019-02-12T23:17:15.000Z,39041
-81.289876324296543,42.953731971527986,125296895,322,Pharmacy,RP,Shoppers Drug Mart #1062,,,,530 Commissioners Road West,,,London,N6J1Y6,2019-02-12T12:40:57.000Z,2019-02-11T10:10:41.000Z,2019-02-12T23:17:15.000Z,39121
-80.968476094213159,43.730582623032383,125285604,5162,Pharmacy,RP,Wal-Mart Pharmacy,,,,600 Mitchell Road South,,,Listowel,N4W3T1,2019-02-12T12:38:24.000Z,2019-02-11T09:48:30.000Z,2019-02-12T23:17:15.000Z,39137
-78.750346442280005,44.343278434625425,125309463,2701,Long-Term Care Home,NH for-profit,Caressant Care Lindsay Nursing Home,,,,240 Mary Street West,,,Kawartha Lakes,K9V5K5,2019-02-12T13:34:53.000Z,2019-02-11T10:38:09.000Z,2019-02-12T23:17:15.000Z,39153
-94.499437398280477,49.768085838250684,125310709,4507,Mental Health and Addiction Organization,Mental Health Services,Lake of the Woods District Hospital,,,,21 Sylvan Street,,Practice Location,Kenora,P9N3W7,2019-02-12T12:43:54.000Z,2019-02-11T10:40:52.000Z,2019-02-12T23:17:15.000Z,39169
-77.783309426159732,44.303174671518121,125275484,5858,Pharmacy,LTCF,Burnbrae Gardens,,,,320 Burnbrae Road East,,,Harcourt,K0L1L0,2019-02-12T13:27:21.000Z,2019-02-11T09:25:25.000Z,2019-02-12T23:17:15.000Z,39201
-89.207491159813429,48.465267370831754,125282556,N0077,Retirement Home,Site,Chartwell Thunder Bay Retirement Residence,,,,770 Arundel Street,,Residential,Thunder Bay,P7A8C8,2019-02-12T12:37:42.000Z,2019-02-11T09:42:23.000Z,2019-02-12T23:17:15.000Z,39377
-79.716162851702265,43.216273692521007,125273452,2750,Long-Term Care Home,NH for-profit,Pine Villa Nursing Home,,,,490 Hamilton Regional Road 8,,,Hamilton,L8G1G6,2019-02-12T13:06:25.000Z,2019-02-11T09:18:27.000Z,2019-02-12T23:17:15.000Z,39489
-79.644123261428433,43.58905376166809,125295386,14017,Mental Health and Addiction Organization,Mental Health Services,Services and Housing In the Province (SHIP),,,,,,Practice Location,Mississauga,,2019-02-12T12:30:49.000Z,2019-02-11T10:07:45.000Z,2019-02-12T23:17:15.000Z,39649
-75.681418464517222,44.596890413056869,125294330,4160,Laboratory - Hospital,Hospital Laboratory - Urban Hospital,Brockville General Hospital,,,,75 Charles Street,,,Brockville,K6V1S8,2019-02-12T13:31:36.000Z,2019-02-11T10:05:47.000Z,2019-02-12T23:17:15.000Z,39729
-79.488445516152879,43.637852077490095,125298029,8006,Children's Treatment Centre,Site,Regent Park Community Health Centre,,TORONTO Regent Park CHC,,150 Berry Road,,,Toronto,M8Y1W3,2019-02-12T12:21:19.000Z,2019-02-11T10:12:50.000Z,2019-02-12T23:17:15.000Z,39761
-80.24016811410641,43.177231461133267,125272554,1235,Community Support Service,Site,Adult Recreation Therapy Centre,,Adult Recreation Therapy Centre,,58 Easton Road,,Administrative Office,Brantford,N3P1J5,2019-02-12T13:26:42.000Z,2019-02-11T09:15:16.000Z,2019-02-12T23:17:15.000Z,39889
-79.389946586540248,43.658225385640982,125278941,10000000111,Hospital - Site,Site,University Health Network - Princess Margaret,,University Health Network,,610 University Avenue,,,Toronto,M5G2M9,2019-02-12T13:07:37.000Z,2019-02-11T09:35:10.000Z,2019-02-12T23:17:15.000Z,39905
-80.559777053011146,43.600368020239365,125290564,10000000287,Senior Active Living Centre,Site,Woolwich Elderly Persons Centre,,,,24 Church Street West,,,Elmira,N3B2Z6,2019-02-12T13:30:43.000Z,2019-02-11T09:58:24.000Z,2019-07-18T00:00:00.000Z,40065
